"artist_name";"artist_id";"album_id";"album_release_date";"album_release_year";"danceability";"energy";"key";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"track_id";"time_signature";"duration_ms";"explicit";"track_name";"track_number";"track_uri";"album_name";"key_name";"mode_name";"key_mode"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,737;0,175;10;-9,912;1;0,0401;0,971;0,000337;0,171;0,545;70,008;"1SmiQ65iSAbPto6gPFlBYm";4;150440;FALSE;"It’s Nice To Have A Friend";17;"spotify:track:1SmiQ65iSAbPto6gPFlBYm";"Lover";"A#";"major";"A# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,557;0,496;0;-9,602;1;0,0563;0,808;0,000173;0,0772;0,265;149,983;"1fzAuUVbzlhZ1lJAx9PtY6";4;293453;FALSE;"Daylight";18;"spotify:track:1fzAuUVbzlhZ1lJAx9PtY6";"Lover";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,613;0,764;2;-6,509;1;0,136;0,0527;0;0,197;0,417;160,015;"2yLa0QULdQr0qAIvVwN6B5";4;208186;FALSE;"...Ready For It?";1;"spotify:track:2yLa0QULdQr0qAIvVwN6B5";"reputation";"D";"major";"D major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,649;0,589;2;-6,237;1;0,0558;0,00845;0;0,108;0,151;159,073;"2x0WlnmfG39ZuDmstl9xfX";4;244826;FALSE;"End Game";2;"spotify:track:2x0WlnmfG39ZuDmstl9xfX";"reputation";"D";"major";"D major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,696;0,602;0;-6,156;0;0,159;0,0679;2,11e-05;0,0696;0,305;82,989;"4svZDCRz4cJoneBpjpx8DJ";4;238253;FALSE;"I Did Something Bad";3;"spotify:track:4svZDCRz4cJoneBpjpx8DJ";"reputation";"C";"minor";"C minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,615;0,534;9;-6,719;0;0,0386;0,106;1,76e-05;0,0607;0,193;135,917;"1R0a2iXumgCiFb7HEZ7gUE";4;236413;FALSE;"Don’t Blame Me";4;"spotify:track:1R0a2iXumgCiFb7HEZ7gUE";"reputation";"A";"minor";"A minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,75;0,404;9;-10,178;0;0,0682;0,216;0,000357;0,0911;0,0499;95,045;"6NFyWDv5CjfwuzoCkw47Xf";4;232253;FALSE;"Delicate";5;"spotify:track:6NFyWDv5CjfwuzoCkw47Xf";"reputation";"A";"minor";"A minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,766;0,709;9;-6,471;0;0,123;0,204;1,41e-05;0,126;0,506;128,07;"1P17dC1amhFzptugyAO7Il";4;211853;FALSE;"Look What You Made Me Do";6;"spotify:track:1P17dC1amhFzptugyAO7Il";"reputation";"A";"minor";"A minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,574;0,61;2;-7,283;1;0,0732;0,122;1,1e-06;0,13;0,374;74,957;"5PxFv9yJEg9dxvbZggykro";4;227906;FALSE;"So It Goes...";7;"spotify:track:5PxFv9yJEg9dxvbZggykro";"reputation";"D";"major";"D major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"6DEjYFkNZh67HP7R9PSZvv";"2017-11-10";2017;0,8;0,535;7;-6,684;1;0,135;0,0713;9,48e-06;0,213;0,451;92,027;"1ZY1PqizIl78geGM4xWlEA";4;209680;FALSE;"Gorgeous";8;"spotify:track:1ZY1PqizIl78geGM4xWlEA";"reputation";"G";"major";"G major"
